Federated Learning Configuration:
  Algorithm: fedavg
  Dataset: CIFAR
  Distribution: IID
  Number of Clients: 3
  Rounds: 20
  Local Epochs: 5
Files already downloaded and verified
Files already downloaded and verified

Running fedavg for ResNet-18

--- FedAvg: Round 1 ---
Client 1, Epoch 1/5, Loss: 658.5317
Client 1, Epoch 2/5, Loss: 419.9324
Client 1, Epoch 3/5, Loss: 317.9873
Client 1, Epoch 4/5, Loss: 251.1268
Client 1, Epoch 5/5, Loss: 189.1494
Client 1 Accuracy (Round 1): 0.9597
Client 2, Epoch 1/5, Loss: 669.0210
Client 2, Epoch 2/5, Loss: 424.2225
Client 2, Epoch 3/5, Loss: 328.0764
Client 2, Epoch 4/5, Loss: 248.1008
Client 2, Epoch 5/5, Loss: 202.6643
Client 2 Accuracy (Round 1): 0.9589
Client 3, Epoch 1/5, Loss: 661.0725
Client 3, Epoch 2/5, Loss: 424.8468
Client 3, Epoch 3/5, Loss: 319.1123
Client 3, Epoch 4/5, Loss: 249.5066
Client 3, Epoch 5/5, Loss: 194.7502
Client 3 Accuracy (Round 1): 0.9492
Global Model, Round 1, Loss: 0.6369, Accuracy: 0.78

--- FedAvg: Round 2 ---
Client 1, Epoch 1/5, Loss: 161.8538
Client 1, Epoch 2/5, Loss: 127.9367
Client 1, Epoch 3/5, Loss: 101.4752
Client 1, Epoch 4/5, Loss: 84.5698
Client 1, Epoch 5/5, Loss: 76.0183
Client 1 Accuracy (Round 2): 0.9822
Client 2, Epoch 1/5, Loss: 155.8769
Client 2, Epoch 2/5, Loss: 122.8852
Client 2, Epoch 3/5, Loss: 104.5388
Client 2, Epoch 4/5, Loss: 88.0600
Client 2, Epoch 5/5, Loss: 73.6553
Client 2 Accuracy (Round 2): 0.9899
Client 3, Epoch 1/5, Loss: 151.3964
Client 3, Epoch 2/5, Loss: 122.1060
Client 3, Epoch 3/5, Loss: 101.5405
Client 3, Epoch 4/5, Loss: 89.5480
Client 3, Epoch 5/5, Loss: 72.1794
Client 3 Accuracy (Round 2): 0.9930
Global Model, Round 2, Loss: 0.6752, Accuracy: 0.79

--- FedAvg: Round 3 ---
Client 1, Epoch 1/5, Loss: 72.4617
Client 1, Epoch 2/5, Loss: 61.8685
Client 1, Epoch 3/5, Loss: 49.5118
Client 1, Epoch 4/5, Loss: 45.7374
Client 1, Epoch 5/5, Loss: 38.3411
Client 1 Accuracy (Round 3): 0.9971
