Federated Learning Configuration:
  Algorithm: fedavg
  Dataset: FMNIST
  Distribution: IID
  Number of Clients: 3
  Rounds: 20
  Local Epochs: 5

Running fedavg for ResNet-18

--- FedAvg: Round 1 ---
Client 1, Epoch 1/5, Loss: 352.2817
Client 1, Epoch 2/5, Loss: 220.5093
Client 1, Epoch 3/5, Loss: 175.3539
Client 1, Epoch 4/5, Loss: 149.8190
Client 1, Epoch 5/5, Loss: 130.7381
Client 1 Accuracy (Round 1): 0.9429
Client 2, Epoch 1/5, Loss: 370.3435
Client 2, Epoch 2/5, Loss: 224.2370
Client 2, Epoch 3/5, Loss: 182.7768
Client 2, Epoch 4/5, Loss: 156.3730
Client 2, Epoch 5/5, Loss: 137.9958
Client 2 Accuracy (Round 1): 0.9410
Client 3, Epoch 1/5, Loss: 355.9581
Client 3, Epoch 2/5, Loss: 217.4326
Client 3, Epoch 3/5, Loss: 178.8705
Client 3, Epoch 4/5, Loss: 152.6097
Client 3, Epoch 5/5, Loss: 133.8287
Client 3 Accuracy (Round 1): 0.9545
Global Model, Round 1, Loss: 0.3701, Accuracy: 0.88

--- FedAvg: Round 2 ---
Client 1, Epoch 1/5, Loss: 118.3128
Client 1, Epoch 2/5, Loss: 102.7716
Client 1, Epoch 3/5, Loss: 92.7759
Client 1, Epoch 4/5, Loss: 82.1545
Client 1, Epoch 5/5, Loss: 75.6528
Client 1 Accuracy (Round 2): 0.9739
Client 2, Epoch 1/5, Loss: 122.9733
Client 2, Epoch 2/5, Loss: 107.3897
Client 2, Epoch 3/5, Loss: 97.7352
Client 2, Epoch 4/5, Loss: 86.9206
Client 2, Epoch 5/5, Loss: 79.4195
Client 2 Accuracy (Round 2): 0.9743
Client 3, Epoch 1/5, Loss: 116.6218
Client 3, Epoch 2/5, Loss: 105.6218
Client 3, Epoch 3/5, Loss: 93.8675
Client 3, Epoch 4/5, Loss: 85.5549
Client 3, Epoch 5/5, Loss: 75.9838
Client 3 Accuracy (Round 2): 0.9761
Global Model, Round 2, Loss: 0.3432, Accuracy: 0.88

--- FedAvg: Round 3 ---
Client 1, Epoch 1/5, Loss: 68.3078
Client 1, Epoch 2/5, Loss: 59.6995
Client 1, Epoch 3/5, Loss: 55.5024
Client 1, Epoch 4/5, Loss: 48.8248
Client 1, Epoch 5/5, Loss: 45.8699
Client 1 Accuracy (Round 3): 0.9818
Client 2, Epoch 1/5, Loss: 70.9121
Client 2, Epoch 2/5, Loss: 65.3537
Client 2, Epoch 3/5, Loss: 60.3336
Client 2, Epoch 4/5, Loss: 53.7296
Client 2, Epoch 5/5, Loss: 44.3966
Client 2 Accuracy (Round 3): 0.9701
Client 3, Epoch 1/5, Loss: 66.4086
Client 3, Epoch 2/5, Loss: 64.0101
Client 3, Epoch 3/5, Loss: 55.9689
Client 3, Epoch 4/5, Loss: 50.3048
Client 3, Epoch 5/5, Loss: 45.1490
Client 3 Accuracy (Round 3): 0.9887
Global Model, Round 3, Loss: 0.3490, Accuracy: 0.88

--- FedAvg: Round 4 ---
Client 1, Epoch 1/5, Loss: 45.0449
Client 1, Epoch 2/5, Loss: 37.7161
Client 1, Epoch 3/5, Loss: 36.4512
Client 1, Epoch 4/5, Loss: 31.4990
Client 1, Epoch 5/5, Loss: 27.1254
Client 1 Accuracy (Round 4): 0.9893
Client 2, Epoch 1/5, Loss: 44.8041
Client 2, Epoch 2/5, Loss: 38.9092
Client 2, Epoch 3/5, Loss: 37.4291
Client 2, Epoch 4/5, Loss: 32.0664
Client 2, Epoch 5/5, Loss: 28.8691
Client 2 Accuracy (Round 4): 0.9889
Client 3, Epoch 1/5, Loss: 39.2290
Client 3, Epoch 2/5, Loss: 40.7369
Client 3, Epoch 3/5, Loss: 33.0474
Client 3, Epoch 4/5, Loss: 32.3620
Client 3, Epoch 5/5, Loss: 28.1419
Client 3 Accuracy (Round 4): 0.9902
Global Model, Round 4, Loss: 0.3336, Accuracy: 0.89

--- FedAvg: Round 5 ---
Client 1, Epoch 1/5, Loss: 29.4684
Client 1, Epoch 2/5, Loss: 24.0575
Client 1, Epoch 3/5, Loss: 18.7245
Client 1, Epoch 4/5, Loss: 20.5718
Client 1, Epoch 5/5, Loss: 20.8809
Client 1 Accuracy (Round 5): 0.9978
Client 2, Epoch 1/5, Loss: 29.3839
Client 2, Epoch 2/5, Loss: 25.3178
Client 2, Epoch 3/5, Loss: 29.0066
Client 2, Epoch 4/5, Loss: 22.3553
Client 2, Epoch 5/5, Loss: 22.1735
Client 2 Accuracy (Round 5): 0.9900
Client 3, Epoch 1/5, Loss: 30.3492
Client 3, Epoch 2/5, Loss: 27.1285
Client 3, Epoch 3/5, Loss: 21.0987
Client 3, Epoch 4/5, Loss: 17.6904
Client 3, Epoch 5/5, Loss: 20.8081
Client 3 Accuracy (Round 5): 0.9789
Global Model, Round 5, Loss: 0.3443, Accuracy: 0.89

--- FedAvg: Round 6 ---
Client 1, Epoch 1/5, Loss: 18.1771
Client 1, Epoch 2/5, Loss: 17.5432
Client 1, Epoch 3/5, Loss: 21.7957
Client 1, Epoch 4/5, Loss: 12.9874
Client 1, Epoch 5/5, Loss: 15.8692
Client 1 Accuracy (Round 6): 0.9955
Client 2, Epoch 1/5, Loss: 20.7001
Client 2, Epoch 2/5, Loss: 18.7344
Client 2, Epoch 3/5, Loss: 18.8816
Client 2, Epoch 4/5, Loss: 12.4894
Client 2, Epoch 5/5, Loss: 16.3390
Client 2 Accuracy (Round 6): 0.9989
Client 3, Epoch 1/5, Loss: 23.6832
Client 3, Epoch 2/5, Loss: 17.9043
Client 3, Epoch 3/5, Loss: 15.6380
Client 3, Epoch 4/5, Loss: 16.2868
Client 3, Epoch 5/5, Loss: 13.7633
Client 3 Accuracy (Round 6): 0.9987
Global Model, Round 6, Loss: 0.3491, Accuracy: 0.89

--- FedAvg: Round 7 ---
Client 1, Epoch 1/5, Loss: 13.3163
Client 1, Epoch 2/5, Loss: 14.9524
Client 1, Epoch 3/5, Loss: 12.9489
Client 1, Epoch 4/5, Loss: 14.2437
Client 1, Epoch 5/5, Loss: 10.3753
Client 1 Accuracy (Round 7): 0.9941
Client 2, Epoch 1/5, Loss: 13.4345
Client 2, Epoch 2/5, Loss: 14.0699
Client 2, Epoch 3/5, Loss: 16.5457
Client 2, Epoch 4/5, Loss: 15.5909
Client 2, Epoch 5/5, Loss: 11.0580
Client 2 Accuracy (Round 7): 0.9975
Client 3, Epoch 1/5, Loss: 15.7669
Client 3, Epoch 2/5, Loss: 14.9868
Client 3, Epoch 3/5, Loss: 13.5032
Client 3, Epoch 4/5, Loss: 10.2458
Client 3, Epoch 5/5, Loss: 10.6426
Client 3 Accuracy (Round 7): 0.9999
Global Model, Round 7, Loss: 0.3644, Accuracy: 0.88

--- FedAvg: Round 8 ---
Client 1, Epoch 1/5, Loss: 11.4650
Client 1, Epoch 2/5, Loss: 9.8902
Client 1, Epoch 3/5, Loss: 8.4411
Client 1, Epoch 4/5, Loss: 9.8337
Client 1, Epoch 5/5, Loss: 7.3820
Client 1 Accuracy (Round 8): 0.9998
Client 2, Epoch 1/5, Loss: 9.2222
Client 2, Epoch 2/5, Loss: 7.9917
Client 2, Epoch 3/5, Loss: 9.2154
Client 2, Epoch 4/5, Loss: 9.9416
Client 2, Epoch 5/5, Loss: 6.6634
Client 2 Accuracy (Round 8): 0.9990
Client 3, Epoch 1/5, Loss: 8.9779
Client 3, Epoch 2/5, Loss: 7.6060
Client 3, Epoch 3/5, Loss: 6.2317
Client 3, Epoch 4/5, Loss: 8.3416
Client 3, Epoch 5/5, Loss: 12.0149
Client 3 Accuracy (Round 8): 0.9989
Global Model, Round 8, Loss: 0.3589, Accuracy: 0.89

--- FedAvg: Round 9 ---
Client 1, Epoch 1/5, Loss: 4.6357
Client 1, Epoch 2/5, Loss: 6.2280
Client 1, Epoch 3/5, Loss: 4.4216
Client 1, Epoch 4/5, Loss: 6.2924
Client 1, Epoch 5/5, Loss: 4.3166
Client 1 Accuracy (Round 9): 0.9997
Client 2, Epoch 1/5, Loss: 6.7863
Client 2, Epoch 2/5, Loss: 11.2409
Client 2, Epoch 3/5, Loss: 11.8004
Client 2, Epoch 4/5, Loss: 9.6240
Client 2, Epoch 5/5, Loss: 5.8973
Client 2 Accuracy (Round 9): 0.9990
Client 3, Epoch 1/5, Loss: 8.7196
Client 3, Epoch 2/5, Loss: 7.2897
Client 3, Epoch 3/5, Loss: 5.8597
Client 3, Epoch 4/5, Loss: 4.1542
Client 3, Epoch 5/5, Loss: 5.5810
Client 3 Accuracy (Round 9): 0.9987
Global Model, Round 9, Loss: 0.3705, Accuracy: 0.89

--- FedAvg: Round 10 ---
Client 1, Epoch 1/5, Loss: 6.9400
Client 1, Epoch 2/5, Loss: 9.0242
Client 1, Epoch 3/5, Loss: 6.0992
Client 1, Epoch 4/5, Loss: 8.9604
Client 1, Epoch 5/5, Loss: 4.4554
Client 1 Accuracy (Round 10): 0.9998
Client 2, Epoch 1/5, Loss: 6.2934
Client 2, Epoch 2/5, Loss: 6.0687
Client 2, Epoch 3/5, Loss: 6.5233
Client 2, Epoch 4/5, Loss: 5.0970
Client 2, Epoch 5/5, Loss: 4.8503
Client 2 Accuracy (Round 10): 0.9983
Client 3, Epoch 1/5, Loss: 6.2898
Client 3, Epoch 2/5, Loss: 7.2341
Client 3, Epoch 3/5, Loss: 7.5677
Client 3, Epoch 4/5, Loss: 3.8377
Client 3, Epoch 5/5, Loss: 4.5734
Client 3 Accuracy (Round 10): 0.9997
Global Model, Round 10, Loss: 0.3720, Accuracy: 0.89

--- FedAvg: Round 11 ---
Client 1, Epoch 1/5, Loss: 5.8804
Client 1, Epoch 2/5, Loss: 4.9320
Client 1, Epoch 3/5, Loss: 4.6549
Client 1, Epoch 4/5, Loss: 5.0671
Client 1, Epoch 5/5, Loss: 7.5374
Client 1 Accuracy (Round 11): 0.9981
Client 2, Epoch 1/5, Loss: 4.2472
Client 2, Epoch 2/5, Loss: 5.2967
Client 2, Epoch 3/5, Loss: 4.0178
Client 2, Epoch 4/5, Loss: 6.0307
Client 2, Epoch 5/5, Loss: 6.2246
Client 2 Accuracy (Round 11): 0.9998
Client 3, Epoch 1/5, Loss: 5.5840
Client 3, Epoch 2/5, Loss: 4.3503
Client 3, Epoch 3/5, Loss: 7.9637
Client 3, Epoch 4/5, Loss: 3.5824
Client 3, Epoch 5/5, Loss: 2.4144
Client 3 Accuracy (Round 11): 1.0000
Global Model, Round 11, Loss: 0.3600, Accuracy: 0.89

--- FedAvg: Round 12 ---
Client 1, Epoch 1/5, Loss: 8.1134
Client 1, Epoch 2/5, Loss: 3.4708
Client 1, Epoch 3/5, Loss: 2.8945
Client 1, Epoch 4/5, Loss: 2.6738
Client 1, Epoch 5/5, Loss: 2.1473
Client 1 Accuracy (Round 12): 0.9999
Client 2, Epoch 1/5, Loss: 5.6414
Client 2, Epoch 2/5, Loss: 4.2868
Client 2, Epoch 3/5, Loss: 4.7186
Client 2, Epoch 4/5, Loss: 3.5419
Client 2, Epoch 5/5, Loss: 5.2054
Client 2 Accuracy (Round 12): 1.0000
Client 3, Epoch 1/5, Loss: 4.2017
Client 3, Epoch 2/5, Loss: 4.0927
Client 3, Epoch 3/5, Loss: 3.8462
Client 3, Epoch 4/5, Loss: 4.7815
Client 3, Epoch 5/5, Loss: 3.7786
Client 3 Accuracy (Round 12): 0.9998
Global Model, Round 12, Loss: 0.3741, Accuracy: 0.89

--- FedAvg: Round 13 ---
Client 1, Epoch 1/5, Loss: 3.1326
Client 1, Epoch 2/5, Loss: 2.3578
Client 1, Epoch 3/5, Loss: 5.4697
Client 1, Epoch 4/5, Loss: 3.9817
Client 1, Epoch 5/5, Loss: 1.3325
Client 1 Accuracy (Round 13): 1.0000
Client 2, Epoch 1/5, Loss: 5.2404
Client 2, Epoch 2/5, Loss: 4.6309
Client 2, Epoch 3/5, Loss: 5.7332
Client 2, Epoch 4/5, Loss: 5.4943
Client 2, Epoch 5/5, Loss: 4.6209
Client 2 Accuracy (Round 13): 0.9996
Client 3, Epoch 1/5, Loss: 2.7331
Client 3, Epoch 2/5, Loss: 2.8547
Client 3, Epoch 3/5, Loss: 2.3264
Client 3, Epoch 4/5, Loss: 2.2636
Client 3, Epoch 5/5, Loss: 5.6878
Client 3 Accuracy (Round 13): 0.9977
Global Model, Round 13, Loss: 0.3676, Accuracy: 0.89

--- FedAvg: Round 14 ---
Client 1, Epoch 1/5, Loss: 1.6931
Client 1, Epoch 2/5, Loss: 3.7922
Client 1, Epoch 3/5, Loss: 3.1713
Client 1, Epoch 4/5, Loss: 2.6220
Client 1, Epoch 5/5, Loss: 1.7635
Client 1 Accuracy (Round 14): 0.9996
Client 2, Epoch 1/5, Loss: 3.9195
Client 2, Epoch 2/5, Loss: 2.2934
Client 2, Epoch 3/5, Loss: 2.6868
Client 2, Epoch 4/5, Loss: 2.3289
Client 2, Epoch 5/5, Loss: 4.1873
Client 2 Accuracy (Round 14): 0.9994
Client 3, Epoch 1/5, Loss: 8.5433
