Federated Learning Configuration:
  Algorithm: fedavg
  Dataset: CIFAR
  Distribution: non-IID
  Number of Clients: 3
  Rounds: 25
  Local Epochs: 5
Files already downloaded and verified
Files already downloaded and verified

Running fedavg for ResNet-18

--- FedAvg: Round 1 ---
Client 1, Epoch 1/5, Loss: 100.9348
Client 1, Epoch 2/5, Loss: 52.6351
Client 1, Epoch 3/5, Loss: 33.8878
Client 1, Epoch 4/5, Loss: 23.8932
Client 1, Epoch 5/5, Loss: 18.4070
Client 1 Accuracy (Round 1): 0.9300
Client 2, Epoch 1/5, Loss: 88.2012
Client 2, Epoch 2/5, Loss: 38.9907
Client 2, Epoch 3/5, Loss: 24.1350
Client 2, Epoch 4/5, Loss: 16.9292
Client 2, Epoch 5/5, Loss: 13.5629
Client 2 Accuracy (Round 1): 0.8599
Client 3, Epoch 1/5, Loss: 74.0476
Client 3, Epoch 2/5, Loss: 31.9077
Client 3, Epoch 3/5, Loss: 18.7902
Client 3, Epoch 4/5, Loss: 11.1468
Client 3, Epoch 5/5, Loss: 8.9910
Client 3 Accuracy (Round 1): 0.9478
Global Model, Round 1, Loss: 1.9788, Accuracy: 0.31

--- FedAvg: Round 2 ---
Client 1, Epoch 1/5, Loss: 19.8795
Client 1, Epoch 2/5, Loss: 12.6718
Client 1, Epoch 3/5, Loss: 10.4189
Client 1, Epoch 4/5, Loss: 5.6156
Client 1, Epoch 5/5, Loss: 5.6916
Client 1 Accuracy (Round 2): 0.9994
Client 2, Epoch 1/5, Loss: 12.8663
Client 2, Epoch 2/5, Loss: 8.3726
Client 2, Epoch 3/5, Loss: 6.7082
Client 2, Epoch 4/5, Loss: 5.2020
Client 2, Epoch 5/5, Loss: 5.6440
Client 2 Accuracy (Round 2): 0.9316
Client 3, Epoch 1/5, Loss: 10.9331
Client 3, Epoch 2/5, Loss: 6.8432
Client 3, Epoch 3/5, Loss: 10.1400
Client 3, Epoch 4/5, Loss: 8.9541
Client 3, Epoch 5/5, Loss: 6.9230
Client 3 Accuracy (Round 2): 0.8884
Global Model, Round 2, Loss: 1.9373, Accuracy: 0.33

--- FedAvg: Round 3 ---
Client 1, Epoch 1/5, Loss: 4.3789
Client 1, Epoch 2/5, Loss: 6.6312
Client 1, Epoch 3/5, Loss: 6.3321
Client 1, Epoch 4/5, Loss: 10.5327
Client 1, Epoch 5/5, Loss: 9.8313
Client 1 Accuracy (Round 3): 0.9984
Client 2, Epoch 1/5, Loss: 9.4313
Client 2, Epoch 2/5, Loss: 7.1796
Client 2, Epoch 3/5, Loss: 5.7467
Client 2, Epoch 4/5, Loss: 2.5134
Client 2, Epoch 5/5, Loss: 2.7883
Client 2 Accuracy (Round 3): 0.9908
Client 3, Epoch 1/5, Loss: 4.2630
Client 3, Epoch 2/5, Loss: 3.1471
Client 3, Epoch 3/5, Loss: 7.2304
Client 3, Epoch 4/5, Loss: 9.5110
Client 3, Epoch 5/5, Loss: 6.3561
Client 3 Accuracy (Round 3): 0.5364
Global Model, Round 3, Loss: 1.9270, Accuracy: 0.33

--- FedAvg: Round 4 ---
Client 1, Epoch 1/5, Loss: 6.7960
Client 1, Epoch 2/5, Loss: 7.9986
Client 1, Epoch 3/5, Loss: 13.9775
Client 1, Epoch 4/5, Loss: 6.5169
Client 1, Epoch 5/5, Loss: 2.5312
Client 1 Accuracy (Round 4): 1.0000
Client 2, Epoch 1/5, Loss: 2.8267
Client 2, Epoch 2/5, Loss: 4.0421
Client 2, Epoch 3/5, Loss: 5.5149
Client 2, Epoch 4/5, Loss: 10.6428
Client 2, Epoch 5/5, Loss: 4.5159
Client 2 Accuracy (Round 4): 0.9836
Client 3, Epoch 1/5, Loss: 10.4615
Client 3, Epoch 2/5, Loss: 5.1650
Client 3, Epoch 3/5, Loss: 2.7643
Client 3, Epoch 4/5, Loss: 1.9194
Client 3, Epoch 5/5, Loss: 1.0913
Client 3 Accuracy (Round 4): 0.9992
Global Model, Round 4, Loss: 1.8954, Accuracy: 0.35

--- FedAvg: Round 5 ---
Client 1, Epoch 1/5, Loss: 1.7529
Client 1, Epoch 2/5, Loss: 2.0521
Client 1, Epoch 3/5, Loss: 3.4013
Client 1, Epoch 4/5, Loss: 4.3260
Client 1, Epoch 5/5, Loss: 10.3449
Client 1 Accuracy (Round 5): 1.0000
Client 2, Epoch 1/5, Loss: 3.5187
Client 2, Epoch 2/5, Loss: 3.8437
Client 2, Epoch 3/5, Loss: 3.8952
Client 2, Epoch 4/5, Loss: 6.8074
Client 2, Epoch 5/5, Loss: 3.1732
Client 2 Accuracy (Round 5): 0.9766
Client 3, Epoch 1/5, Loss: 1.2271
Client 3, Epoch 2/5, Loss: 1.4742
Client 3, Epoch 3/5, Loss: 0.8547
Client 3, Epoch 4/5, Loss: 0.7672
Client 3, Epoch 5/5, Loss: 0.4397
Client 3 Accuracy (Round 5): 0.9998
Global Model, Round 5, Loss: 1.9285, Accuracy: 0.33

--- FedAvg: Round 6 ---
Client 1, Epoch 1/5, Loss: 7.9989
Client 1, Epoch 2/5, Loss: 6.4322
Client 1, Epoch 3/5, Loss: 2.7859
Client 1, Epoch 4/5, Loss: 1.8527
Client 1, Epoch 5/5, Loss: 1.5480
Client 1 Accuracy (Round 6): 1.0000
Client 2, Epoch 1/5, Loss: 2.9360
Client 2, Epoch 2/5, Loss: 2.2826
Client 2, Epoch 3/5, Loss: 0.8940
Client 2, Epoch 4/5, Loss: 0.9172
Client 2, Epoch 5/5, Loss: 1.6125
Client 2 Accuracy (Round 6): 0.9998
Client 3, Epoch 1/5, Loss: 0.4237
Client 3, Epoch 2/5, Loss: 1.3044
Client 3, Epoch 3/5, Loss: 3.6166
Client 3, Epoch 4/5, Loss: 1.4749
Client 3, Epoch 5/5, Loss: 1.7324
Client 3 Accuracy (Round 6): 0.9740
Global Model, Round 6, Loss: 1.9030, Accuracy: 0.36

--- FedAvg: Round 7 ---
Client 1, Epoch 1/5, Loss: 1.2911
Client 1, Epoch 2/5, Loss: 3.3169
Client 1, Epoch 3/5, Loss: 1.0517
Client 1, Epoch 4/5, Loss: 1.0311
Client 1, Epoch 5/5, Loss: 2.4843
Client 1 Accuracy (Round 7): 0.9998
Client 2, Epoch 1/5, Loss: 0.8058
Client 2, Epoch 2/5, Loss: 1.6907
Client 2, Epoch 3/5, Loss: 7.9089
Client 2, Epoch 4/5, Loss: 1.7270
Client 2, Epoch 5/5, Loss: 1.6620
Client 2 Accuracy (Round 7): 0.9998
Client 3, Epoch 1/5, Loss: 2.4204
Client 3, Epoch 2/5, Loss: 0.9945
Client 3, Epoch 3/5, Loss: 3.2488
Client 3, Epoch 4/5, Loss: 4.7898
Client 3, Epoch 5/5, Loss: 2.0502
Client 3 Accuracy (Round 7): 1.0000
Global Model, Round 7, Loss: 1.9006, Accuracy: 0.36

--- FedAvg: Round 8 ---
Client 1, Epoch 1/5, Loss: 3.5024
Client 1, Epoch 2/5, Loss: 2.5269
Client 1, Epoch 3/5, Loss: 1.1152
Client 1, Epoch 4/5, Loss: 0.5910
Client 1, Epoch 5/5, Loss: 2.4743
Client 1 Accuracy (Round 8): 0.8964
Client 2, Epoch 1/5, Loss: 1.5940
Client 2, Epoch 2/5, Loss: 1.4195
Client 2, Epoch 3/5, Loss: 0.4847
Client 2, Epoch 4/5, Loss: 0.3909
Client 2, Epoch 5/5, Loss: 0.4931
Client 2 Accuracy (Round 8): 1.0000
Client 3, Epoch 1/5, Loss: 0.6890
Client 3, Epoch 2/5, Loss: 1.2245
Client 3, Epoch 3/5, Loss: 2.8897
Client 3, Epoch 4/5, Loss: 4.5868
Client 3, Epoch 5/5, Loss: 2.4507
Client 3 Accuracy (Round 8): 0.9998
Global Model, Round 8, Loss: 1.9182, Accuracy: 0.35

--- FedAvg: Round 9 ---
Client 1, Epoch 1/5, Loss: 7.0441
Client 1, Epoch 2/5, Loss: 3.2964
Client 1, Epoch 3/5, Loss: 1.1536
Client 1, Epoch 4/5, Loss: 2.0715
Client 1, Epoch 5/5, Loss: 6.5401
Client 1 Accuracy (Round 9): 0.9996
Client 2, Epoch 1/5, Loss: 0.6593
Client 2, Epoch 2/5, Loss: 6.1081
Client 2, Epoch 3/5, Loss: 4.8705
Client 2, Epoch 4/5, Loss: 1.5345
Client 2, Epoch 5/5, Loss: 2.6904
Client 2 Accuracy (Round 9): 0.9996
Client 3, Epoch 1/5, Loss: 0.6397
Client 3, Epoch 2/5, Loss: 0.5519
Client 3, Epoch 3/5, Loss: 1.2298
Client 3, Epoch 4/5, Loss: 3.4576
Client 3, Epoch 5/5, Loss: 9.7057
Client 3 Accuracy (Round 9): 0.7307
Global Model, Round 9, Loss: 1.9391, Accuracy: 0.35

--- FedAvg: Round 10 ---
Client 1, Epoch 1/5, Loss: 1.2099
Client 1, Epoch 2/5, Loss: 1.9078
Client 1, Epoch 3/5, Loss: 1.4240
Client 1, Epoch 4/5, Loss: 1.4278
Client 1, Epoch 5/5, Loss: 0.7430
Client 1 Accuracy (Round 10): 1.0000
Client 2, Epoch 1/5, Loss: 0.3716
Client 2, Epoch 2/5, Loss: 1.3141
Client 2, Epoch 3/5, Loss: 1.3757
Client 2, Epoch 4/5, Loss: 1.2092
Client 2, Epoch 5/5, Loss: 2.0400
Client 2 Accuracy (Round 10): 1.0000
