Federated Learning Configuration:
  Algorithm: fedavg
  Dataset: FMNIST
  Distribution: non-IID
  Number of Clients: 3
  Rounds: 25
  Local Epochs: 5

Running fedavg for ResNet-18

--- FedAvg: Round 1 ---
Client 1, Epoch 1/5, Loss: 35.7557
Client 1, Epoch 2/5, Loss: 15.1230
Client 1, Epoch 3/5, Loss: 11.7389
Client 1, Epoch 4/5, Loss: 8.7100
Client 1, Epoch 5/5, Loss: 8.3774
Client 1 Accuracy (Round 1): 0.9927
Client 2, Epoch 1/5, Loss: 22.4224
Client 2, Epoch 2/5, Loss: 4.4295
Client 2, Epoch 3/5, Loss: 2.4749
Client 2, Epoch 4/5, Loss: 1.7158
Client 2, Epoch 5/5, Loss: 1.2512
Client 2 Accuracy (Round 1): 0.9998
Client 3, Epoch 1/5, Loss: 67.8432
Client 3, Epoch 2/5, Loss: 37.0803
Client 3, Epoch 3/5, Loss: 27.9901
Client 3, Epoch 4/5, Loss: 21.6085
Client 3, Epoch 5/5, Loss: 18.6588
Client 3 Accuracy (Round 1): 0.9852
Global Model, Round 1, Loss: 1.8374, Accuracy: 0.33

--- FedAvg: Round 2 ---
Client 1, Epoch 1/5, Loss: 6.3535
Client 1, Epoch 2/5, Loss: 5.1032
Client 1, Epoch 3/5, Loss: 3.9452
Client 1, Epoch 4/5, Loss: 3.9567
Client 1, Epoch 5/5, Loss: 4.1392
Client 1 Accuracy (Round 2): 0.9878
Client 2, Epoch 1/5, Loss: 0.3812
Client 2, Epoch 2/5, Loss: 0.3455
Client 2, Epoch 3/5, Loss: 0.2753
Client 2, Epoch 4/5, Loss: 0.3100
Client 2, Epoch 5/5, Loss: 1.3281
Client 2 Accuracy (Round 2): 0.9998
Client 3, Epoch 1/5, Loss: 16.5103
Client 3, Epoch 2/5, Loss: 14.0072
Client 3, Epoch 3/5, Loss: 11.8865
Client 3, Epoch 4/5, Loss: 8.2964
Client 3, Epoch 5/5, Loss: 10.4407
Client 3 Accuracy (Round 2): 0.9948
Global Model, Round 2, Loss: 1.8443, Accuracy: 0.33

--- FedAvg: Round 3 ---
Client 1, Epoch 1/5, Loss: 4.7638
Client 1, Epoch 2/5, Loss: 3.2457
Client 1, Epoch 3/5, Loss: 2.3249
Client 1, Epoch 4/5, Loss: 1.9478
Client 1, Epoch 5/5, Loss: 1.6682
Client 1 Accuracy (Round 3): 0.9988
Client 2, Epoch 1/5, Loss: 0.4687
Client 2, Epoch 2/5, Loss: 0.1922
Client 2, Epoch 3/5, Loss: 0.1671
Client 2, Epoch 4/5, Loss: 0.1303
Client 2, Epoch 5/5, Loss: 0.0998
Client 2 Accuracy (Round 3): 1.0000
Client 3, Epoch 1/5, Loss: 8.2567
Client 3, Epoch 2/5, Loss: 6.1081
Client 3, Epoch 3/5, Loss: 7.5132
Client 3, Epoch 4/5, Loss: 5.5964
Client 3, Epoch 5/5, Loss: 3.8783
Client 3 Accuracy (Round 3): 0.9952
Global Model, Round 3, Loss: 1.8355, Accuracy: 0.34

--- FedAvg: Round 4 ---
Client 1, Epoch 1/5, Loss: 3.2664
Client 1, Epoch 2/5, Loss: 1.7169
Client 1, Epoch 3/5, Loss: 1.2202
Client 1, Epoch 4/5, Loss: 1.4562
Client 1, Epoch 5/5, Loss: 1.9011
Client 1 Accuracy (Round 4): 0.9998
Client 2, Epoch 1/5, Loss: 0.1277
Client 2, Epoch 2/5, Loss: 0.0954
Client 2, Epoch 3/5, Loss: 0.1352
Client 2, Epoch 4/5, Loss: 0.0544
Client 2, Epoch 5/5, Loss: 0.1309
Client 2 Accuracy (Round 4): 1.0000
Client 3, Epoch 1/5, Loss: 4.0990
Client 3, Epoch 2/5, Loss: 4.5195
Client 3, Epoch 3/5, Loss: 3.9434
Client 3, Epoch 4/5, Loss: 4.1071
Client 3, Epoch 5/5, Loss: 1.6259
Client 3 Accuracy (Round 4): 0.9998
Global Model, Round 4, Loss: 1.8079, Accuracy: 0.36

--- FedAvg: Round 5 ---
Client 1, Epoch 1/5, Loss: 0.4373
Client 1, Epoch 2/5, Loss: 1.6533
Client 1, Epoch 3/5, Loss: 0.6575
Client 1, Epoch 4/5, Loss: 1.5149
Client 1, Epoch 5/5, Loss: 1.2921
Client 1 Accuracy (Round 5): 0.9967
Client 2, Epoch 1/5, Loss: 0.0552
Client 2, Epoch 2/5, Loss: 0.1071
Client 2, Epoch 3/5, Loss: 0.0401
Client 2, Epoch 4/5, Loss: 0.0480
Client 2, Epoch 5/5, Loss: 0.0397
Client 2 Accuracy (Round 5): 1.0000
Client 3, Epoch 1/5, Loss: 0.8522
Client 3, Epoch 2/5, Loss: 2.3523
Client 3, Epoch 3/5, Loss: 3.7090
Client 3, Epoch 4/5, Loss: 2.2173
Client 3, Epoch 5/5, Loss: 3.1986
Client 3 Accuracy (Round 5): 0.9902
Global Model, Round 5, Loss: 1.8248, Accuracy: 0.34

--- FedAvg: Round 6 ---
Client 1, Epoch 1/5, Loss: 1.0408
Client 1, Epoch 2/5, Loss: 0.5404
Client 1, Epoch 3/5, Loss: 0.6186
Client 1, Epoch 4/5, Loss: 0.4292
Client 1, Epoch 5/5, Loss: 0.3996
Client 1 Accuracy (Round 6): 0.9998
Client 2, Epoch 1/5, Loss: 0.0329
Client 2, Epoch 2/5, Loss: 0.0417
Client 2, Epoch 3/5, Loss: 0.0301
Client 2, Epoch 4/5, Loss: 0.0774
Client 2, Epoch 5/5, Loss: 0.0496
Client 2 Accuracy (Round 6): 1.0000
Client 3, Epoch 1/5, Loss: 3.1933
Client 3, Epoch 2/5, Loss: 1.7677
Client 3, Epoch 3/5, Loss: 3.1815
Client 3, Epoch 4/5, Loss: 1.0596
Client 3, Epoch 5/5, Loss: 0.8202
Client 3 Accuracy (Round 6): 0.9970
Global Model, Round 6, Loss: 1.8102, Accuracy: 0.36

--- FedAvg: Round 7 ---
Client 1, Epoch 1/5, Loss: 0.2216
